"Time (ps)"	"Count rate (counts/s), channel 1"	"Count rate (counts/s), channel 2"	"Frequency (Hz), channel 1"	"Frequency (Hz), channel 2"
250020000000000	91100	84800	91028.331108750717	84662.406328446217
250040000000000	91200	84550	91211.301147420192	84535.121316443037
250060000000000	91050	84200	91129.697649773079	84582.10872798154
250080000000000	90800	84300	90875.373969571694	84155.837002930464
250100000000000	91050	84750	90885.848477515305	84490.347889092664
250120000000000	91200	84900	91107.369439722228	84810.290333803336
250140000000000	91100	83950	91214.369813656987	84475.990049441651
250160000000000	91100	84200	91014.765102070553	83925.977565192821
250180000000000	91000	84250	91127.848842208172	84356.952070893269
250200000000000	90900	84450	90915.085355941046	84344.546798015683
250220000000000	90850	84300	90919.741666473055	84318.159135508104
250240000000000	91150	84450	90929.823637977082	84487.818137280628
250260000000000	91100	84550	91305.547452595361	84316.422648457708
250280000000000	91200	84550	91077.715362942326	84709.370048609111
250300000000000	91350	84400	91227.916244402222	84473.342479388186
250320000000000	90800	84800	91018.734347746868	84421.971527514252
250340000000000	91200	84800	91032.200082515701	84836.43384017174
250360000000000	90950	84050	91096.650064861911	84550.037917061476
250380000000000	90800	84600	90819.059542346251	84144.89149786366
250400000000000	90950	83550	90905.779016179149	84044.921324635827
250420000000000	91400	84350	91159.868297525303	84082.853574334367
250440000000000	90800	84600	91101.261643135847	84599.329133018022
250460000000000	91000	84750	90927.204047476524	84540.83649376352
250480000000000	90900	84750	90963.222167416156	84791.831235807709
250500000000000	91350	84400	91141.1033893805	84726.818714328692
250520000000000	91300	83800	91290.668522062479	84138.884494109909
250540000000000	91300	84900	91244.073426332572	84429.246894359792
250560000000000	91350	84400	91325.188792458779	84436.931661642826
250580000000000	91250	84700	91349.255595951792	84533.639942688664
250600000000000	90950	84350	91099.093084267603	84274.749804259132
250620000000000	91150	84300	91072.160527295055	84337.295894671523
250640000000000	91250	84550	91208.192900356909	84504.784191912579
250660000000000	91050	84600	91113.03632363354	84580.466119275108
250680000000000	90850	84850	90820.223008104178	84826.767859462707
250700000000000	91000	84100	91084.630054975423	84421.977441505383
250720000000000	91250	84350	91021.640569497831	84324.838391327095
250740000000000	90750	84800	91185.724521737036	84503.526650429165
250760000000000	90950	84150	90798.363834352756	84679.118141454339
250780000000000	90700	84400	90802.149193019926	84362.931215899865
250800000000000	91200	84900	91053.447834362465	84447.81724309799
250820000000000	90800	84350	91026.744602229941	84642.288533226572
250840000000000	90800	84850	90740.635033224506	84813.996686402708
250860000000000	91300	84250	91002.867427057761	84259.887135189056
250880000000000	91300	84300	91258.332425145622	84130.836302021766
250900000000000	91250	84050	91256.65198747252	84241.015373283473
250920000000000	91050	84850	91118.049916455886	84397.288753938614
250940000000000	90900	84000	90993.38962325886	84414.312384560224
250960000000000	90850	84700	90870.807598311701	84583.62804574937
250980000000000	91400	84450	91216.356975066636	84357.064348701359
251000000000000	91250	84450	91270.89957066589	84499.957286180084
251020000000000	91150	84400	91193.563876563916	84550.133632141617
251040000000000	91000	84750	91149.018509429501	84640.988105159005
251060000000000	91050	84500	90936.476012970961	84660.765371039306
251080000000000	91300	83950	91244.309408645058	84096.49678107549
251100000000000	91050	84750	91159.101676668724	84593.295865523221
251120000000000	91200	84350	91059.760573814274	84377.267148347804
251140000000000	90900	84050	91119.251799285295	84192.547485229908
251160000000000	91050	85200	90873.270947292491	84610.358131739762
251180000000000	91050	84550	91051.335788772354	84713.16094524214
251200000000000	91050	84300	91062.065622572278	84368.157203283859
251220000000000	90800	84700	90938.088137246785	84441.670314343311
251240000000000	91000	84700	90944.427689727236	84809.740474143546
251260000000000	90750	84800	90855.015032698197	84835.681232752875
251280000000000	91100	84550	90983.815329143312	84690.243450862326
251300000000000	90850	84650	90953.42479682462	84617.887553699169
251320000000000	91100	84650	90947.929871335931	84705.029440131926
251340000000000	90900	84100	90987.477665315775	84461.945778800204
251360000000000	91150	84650	91112.15245185532	84323.970088366317
251380000000000	91000	84400	91023.606466102137	84544.852145405166
251400000000000	91500	84550	91203.017350935144	84338.126358218899
251420000000000	91200	84750	91380.44586695607	84461.389790831061
251440000000000	91250	83950	91165.345062881723	84269.940352726582
251460000000000	91050	84400	91084.39518338858	84363.199634944351
251480000000000	91000	84250	91089.816937094947	84249.526538517544
251500000000000	90900	84350	90946.820313630873	84399.417922458437
251520000000000	91200	84950	91084.015129912281	84726.213410271521
251540000000000	90800	84400	90986.406176418677	84711.346166630567
251560000000000	91100	84600	91039.6479164255	84548.643992516081
251580000000000	91000	84550	91056.937793527904	84586.155751694198
251600000000000	91100	84700	91026.923935043	84543.427911908657
251620000000000	90850	84700	91064.439130717859	84794.703534621309
251640000000000	91150	84900	90841.413067390604	84662.842109215824
251660000000000	91350	84700	91264.84823121762	84904.981256878717
251680000000000	91200	84500	91282.338229870918	84419.52337431765
251700000000000	91050	84400	91063.858221858929	84491.232876986469
251720000000000	91050	84250	91087.26840872188	84465.388518449079
251740000000000	91300	84150	91189.215533299532	84075.871923336235
251760000000000	90700	84150	90991.194670880286	84074.748306751062
251780000000000	90900	84900	90826.855680563749	84572.752309419826
251800000000000	91150	84250	91057.391345157404	84628.265577723709
251820000000000	90850	84700	91002.55271134591	84527.967936106317
251840000000000	90900	84500	90859.401853188057	84774.539392211052
251860000000000	90800	84700	90941.250326329537	84473.670558191079
251880000000000	90800	85000	90792.452253765514	84897.775409100403
251900000000000	91100	84300	90896.331234607118	84611.635268506754
251920000000000	91050	84200	91039.753223320135	84103.048551668267
251940000000000	90900	84600	90921.976809763291	84476.069711615477
251960000000000	90650	84100	90779.838046798061	84326.081037501892
251980000000000	91050	84300	90955.05909665885	84219.920768593482
252000000000000	90850	84600	90753.479740956725	84334.515960491859
252020000000000	91150	84750	91107.963573186309	84694.89338441455
252040000000000	91150	84400	91104.062386334728	84602.221176762134
252060000000000	90950	83750	91195.073974599363	84106.799881976462
252080000000000	91050	83600	90899.361018916592	83937.864768497297
252100000000000	91050	84050	91097.079855233838	83687.507388434169
252120000000000	91100	84500	91151.414370605664	84213.915393427771
252140000000000	91050	84750	91035.007824180648	84683.235565739058
252160000000000	91000	84300	91046.340812831389	84742.905672225941
252180000000000	90950	84050	90993.444963927046	84067.24671771517
252200000000000	91050	85150	90840.344868991786	84416.548013786422
252220000000000	91200	84050	91088.865263945001	84478.690519094249
252240000000000	90800	84650	91169.956518658146	84265.565943916299
252260000000000	91250	84100	90847.010828532118	84299.168425964279
252280000000000	91200	84850	91244.762387985509	84720.853559182215
252300000000000	91200	84150	91255.600366647472	84342.078305680217
252320000000000	91000	84600	91055.686878141045	84635.677251050496
252340000000000	90900	84500	90878.814546912821	84411.676831365214
252360000000000	91150	84300	91145.147420038222	84599.77600151606
252380000000000	91150	84400	91166.992074741313	84210.914570032313
252400000000000	91100	84300	91173.601914932267	84361.47479072008
252420000000000	91000	83950	91081.281402346183	84091.13484632966
252440000000000	91100	84700	90965.070740455674	84388.91096535993
252460000000000	91150	84750	91135.455486736842	84609.108841213019
252480000000000	91100	84500	91135.268369460173	84557.87936269473
252500000000000	91050	84150	90984.442129273026	84569.084472417133
252520000000000	90850	84150	91064.190924301802	84125.876935220716
252540000000000	91050	84600	90879.652419946069	84174.111863091282
252560000000000	91050	84050	91082.601067187308	84335.166542225954
252580000000000	91250	84050	91142.474325479314	84199.097872179715
252600000000000	91100	84150	91189.70079706813	84160.773619975822
252620000000000	91250	84650	91198.077607418745	84224.638900969119
252640000000000	91200	84650	91164.387943955619	84782.690546769154
252660000000000	91050	84350	91213.837828789212	84380.002860924404
252680000000000	90950	84250	91050.35744743442	84360.959768364701
252700000000000	90950	84750	90955.815374601632	84469.629621169879
252720000000000	91100	84400	90895.185974113119	84700.724684052053
252740000000000	90900	84850	90973.412678190332	84477.204511890581
252760000000000	91300	84350	91101.128981071277	84750.26457518083
252780000000000	91050	84300	91159.544330185439	84125.754033141187
252800000000000	91200	84600	91139.726829873849	84577.366472932074
252820000000000	90950	84300	91066.314195555664	84458.950805193832
252840000000000	90950	84450	91004.954440850197	84162.241019407593
252860000000000	91100	84450	91031.5279651046	84589.23496666181
252880000000000	91100	84250	91048.631043406684	84521.817086939991
252900000000000	91100	84500	91162.927869134306	84440.935168395692
252920000000000	91000	84400	91080.015143711847	84415.005546472865
