Wavelength [m],Power [dBm]
1.47e-06,-69.0354483
1.47004e-06,-68.1839737
1.47008e-06,-68.1455233
1.47012e-06,-68.8381541
1.47016e-06,-68.4549182
1.4702e-06,-68.8075654
1.47024e-06,-68.8590836
1.47028e-06,-68.369056
1.47032e-06,-68.1167197
1.47036e-06,-68.1059679
1.4704e-06,-68.3807069
1.47044e-06,-68.5684072
1.47048e-06,-68.2167181
1.47052e-06,-68.3342458
1.47056e-06,-68.3702485
1.4706e-06,-68.1196754
1.47064e-06,-68.4849665
1.47068e-06,-68.8063017
1.47072e-06,-68.2840744
1.47076e-06,-68.1920451
1.4708e-06,-68.0622675
1.47084e-06,-68.0475728
1.47088e-06,-68.8717911
1.47092e-06,-68.4722902
1.47096e-06,-68.2971841
1.471e-06,-67.8530044
1.47104e-06,-69.0869351
1.47108e-06,-68.6735237
1.47112e-06,-69.129016
1.47116e-06,-68.1364559
1.4712e-06,-67.832475
1.47124e-06,-68.1222711
1.47128e-06,-68.1452429
1.47132e-06,-68.1828588
1.47136e-06,-67.9563134
1.4714e-06,-68.5144656
1.47144e-06,-67.9562672
1.47148e-06,-68.6819984
1.47152e-06,-68.3067573
1.47156e-06,-68.7019037
1.4716e-06,-68.1947446
1.47164e-06,-68.5597715
1.47168e-06,-68.4275389
1.47172e-06,-67.737029
1.47176e-06,-67.6881515
1.4718e-06,-68.0652835
1.47184e-06,-68.2541908
1.47188e-06,-67.6142072
1.47192e-06,-67.6975391
1.47196e-06,-68.1547669
1.472e-06,-68.4545198
1.47204e-06,-67.4822557
1.47208e-06,-68.1961348
1.47212e-06,-68.3092101
1.47216e-06,-68.2441589
1.4722e-06,-68.6944193
1.47224e-06,-68.6569122
1.47228e-06,-68.598353
1.47232e-06,-68.7542274
1.47236e-06,-68.1449695
1.4724e-06,-68.3036505
1.47244e-06,-67.8012363
1.47248e-06,-69.3127449
1.47252e-06,-68.2047934
1.47256e-06,-68.6680909
1.4726e-06,-68.16377
1.47264e-06,-68.2587169
1.47268e-06,-68.1265207
1.47272e-06,-68.4319419
1.47276e-06,-68.1116825
1.4728e-06,-68.2385212
1.47284e-06,-68.4312532
1.47288e-06,-68.3041119
1.47292e-06,-68.1335375
1.47296e-06,-68.6291571
1.473e-06,-67.7134331
1.47304e-06,-68.1792883
1.47308e-06,-68.6092525
1.47312e-06,-68.1765506
1.47316e-06,-68.3307373
1.4732e-06,-67.8493659
1.47324e-06,-68.6546108
1.47328e-06,-68.3134858
1.47332e-06,-68.2062709
1.47336e-06,-68.1106196
1.4734e-06,-68.4849077
1.47344e-06,-68.5099494
1.47348e-06,-68.2716937
1.47352e-06,-68.8464538
1.47356e-06,-68.1867073
1.4736e-06,-68.2278405
1.47364e-06,-68.2584838
1.47368e-06,-68.3120509
1.47372e-06,-68.5396876
1.47376e-06,-68.2675468
1.4738e-06,-68.2680672
1.47384e-06,-68.2767519
1.47388e-06,-69.0727872
1.47392e-06,-68.1678468
1.47396e-06,-68.6134716
1.474e-06,-68.4108082
1.47404e-06,-68.9332249
1.47408e-06,-68.3145715
1.47412e-06,-68.1471393
1.47416e-06,-68.7895414
1.4742e-06,-68.4473902
1.47424e-06,-68.2982723
1.47428e-06,-68.4501401
1.47432e-06,-68.1834764
1.47436e-06,-68.7539477
1.4744e-06,-68.5884353
1.47444e-06,-68.6801357
1.47448e-06,-68.780096
1.47452e-06,-68.6863462
1.47456e-06,-67.7117209
1.4746e-06,-69.3990614
1.47464e-06,-68.3017171
1.47468e-06,-69.4490532
1.47472e-06,-68.3033596
1.47476e-06,-68.7929166
1.4748e-06,-68.8031201
1.47484e-06,-68.4404218
1.47488e-06,-68.5897326
1.47492e-06,-68.5361857
1.47496e-06,-68.3356509
1.475e-06,-68.0754109
1.47504e-06,-68.6497545
1.47508e-06,-68.2874785
1.47512e-06,-68.1498329
1.47516e-06,-68.9506085
1.4752e-06,-68.7307848
1.47524e-06,-68.5660052
1.47528e-06,-68.3253172
1.47532e-06,-68.2609365
1.47536e-06,-68.7411787
1.4754e-06,-68.2862269
1.47544e-06,-68.1323067
1.47548e-06,-68.4450601
1.47552e-06,-68.8988916
1.47556e-06,-68.2245839
1.4756e-06,-68.5125272
1.47564e-06,-68.8746524
1.47568e-06,-68.6658731
1.47572e-06,-68.4925331
1.47576e-06,-67.9058918
1.4758e-06,-69.2067727
1.47584e-06,-68.2272483
1.47588e-06,-68.3393144
1.47592e-06,-68.6519383
1.47596e-06,-68.2652286
1.476e-06,-67.9494325
1.47604e-06,-68.926726
1.47608e-06,-67.7778442
1.47612e-06,-68.4245771
1.47616e-06,-67.932816
1.4762e-06,-68.6859327
1.47624e-06,-68.2525342
1.47628e-06,-68.4759428
1.47632e-06,-68.1173819
1.47636e-06,-68.4174156
1.4764e-06,-68.1514849
1.47644e-06,-68.4756274
1.47648e-06,-68.0597718
1.47652e-06,-68.7351602
1.47656e-06,-67.6801444
1.4766e-06,-68.4516282
1.47664e-06,-68.5661573
1.47668e-06,-68.2629226
1.47672e-06,-68.0665332
1.47676e-06,-67.9145015
1.4768e-06,-67.6790007
1.47684e-06,-68.3741377
1.47688e-06,-67.8786139
1.47692e-06,-68.6199034
1.47696e-06,-68.468729
1.477e-06,-68.6015787
1.47704e-06,-68.8170072
1.47708e-06,-68.3440668
1.47712e-06,-68.478507
1.47716e-06,-68.6151162
1.4772e-06,-67.6805734
1.47724e-06,-68.3748983
1.47728e-06,-68.6643125
1.47732e-06,-68.1573103
1.47736e-06,-68.0153055
1.4774e-06,-68.7452866
1.47744e-06,-68.4757056
1.47748e-06,-68.8318511
1.47752e-06,-67.9000495
1.47756e-06,-68.2631297
1.4776e-06,-68.1113235
1.47764e-06,-68.6496215
1.47768e-06,-68.2204261
1.47772e-06,-68.365856
1.47776e-06,-68.6442053
1.4778e-06,-69.4360997
1.47784e-06,-68.6657335
1.47788e-06,-68.4052031
1.47792e-06,-67.8969544
1.47796e-06,-68.7779368
1.478e-06,-68.5817525
1.47804e-06,-68.0341077
1.47808e-06,-68.665734
1.47812e-06,-68.4664438
1.47816e-06,-68.4421799
1.4782e-06,-67.8906194
1.47824e-06,-68.5958104
1.47828e-06,-68.1410257
1.47832e-06,-69.1926143
1.47836e-06,-68.8525348
1.4784e-06,-68.1530069
1.47844e-06,-68.7094517
1.47848e-06,-68.2042197
1.47852e-06,-68.3425351
1.47856e-06,-68.4726339
1.4786e-06,-68.2907071
1.47864e-06,-68.7880313
1.47868e-06,-68.1924857
1.47872e-06,-68.4145129
1.47876e-06,-68.1601583
1.4788e-06,-68.4470549
1.47884e-06,-68.1695027
1.47888e-06,-68.5185339
1.47892e-06,-68.0045892
1.47896e-06,-68.8773048
1.479e-06,-68.1423433
1.47904e-06,-68.7040149
1.47908e-06,-67.8505208
1.47912e-06,-68.6027626
1.47916e-06,-68.5930225
1.4792e-06,-68.457523
1.47924e-06,-69.110481
1.47928e-06,-68.1201423
1.47932e-06,-68.1757236
1.47936e-06,-68.5426648
1.4794e-06,-68.9100672
1.47944e-06,-68.8569445
1.47948e-06,-68.4736793
1.47952e-06,-68.3778154
1.47956e-06,-68.572658
1.4796e-06,-68.2032959
1.47964e-06,-68.5584743
1.47968e-06,-68.7229712
1.47972e-06,-68.6800847
1.47976e-06,-68.8927283
1.4798e-06,-68.881524
1.47984e-06,-68.2081452
1.47988e-06,-69.1325053
1.47992e-06,-69.2801784
1.47996e-06,-68.3185626
1.48e-06,-68.8772774
1.48004e-06,-68.1376928
1.48008e-06,-68.4441296
1.48012e-06,-68.0045807
1.48016e-06,-68.448213
1.4802e-06,-68.4743668
1.48024e-06,-68.2134912
1.48028e-06,-68.0634958
1.48032e-06,-68.2565088
1.48036e-06,-67.9196022
1.4804e-06,-68.2584922
1.48044e-06,-68.4753333
1.48048e-06,-68.1319668
1.48052e-06,-68.5305335
1.48056e-06,-68.0809918
1.4806e-06,-68.2589439
1.48064e-06,-68.5479961
1.48068e-06,-68.9653299
1.48072e-06,-68.4641212
1.48076e-06,-68.4602901
1.4808e-06,-68.5433075
1.48084e-06,-68.3598277
1.48088e-06,-68.800893
1.48092e-06,-68.4039634
1.48096e-06,-68.8240751
1.481e-06,-68.2856006
1.48104e-06,-68.744966
1.48108e-06,-68.5137343
1.48112e-06,-68.8688746
1.48116e-06,-68.9196993
1.4812e-06,-68.5665359
1.48124e-06,-68.5867345
1.48128e-06,-68.4145635
1.48132e-06,-68.6848511
1.48136e-06,-68.1574971
1.4814e-06,-68.7493305
1.48144e-06,-68.8808725
1.48148e-06,-68.8280459
1.48152e-06,-67.8119711
1.48156e-06,-67.9920616
1.4816e-06,-68.8887124
1.48164e-06,-68.6664627
1.48168e-06,-68.5447716
1.48172e-06,-68.3973049
1.48176e-06,-68.5330167
1.4818e-06,-68.5398887
1.48184e-06,-68.3551525
1.48188e-06,-69.1138819
1.48192e-06,-69.0112311
1.48196e-06,-68.4523937
1.482e-06,-68.7582145
1.48204e-06,-68.4786603
1.48208e-06,-69.1656815
1.48212e-06,-68.2928295
1.48216e-06,-68.351888
1.4822e-06,-68.97766
1.48224e-06,-68.4238466
1.48228e-06,-68.0756262
1.48232e-06,-68.7057933
1.48236e-06,-68.1799488
1.4824e-06,-68.9864432
1.48244e-06,-68.38276
1.48248e-06,-68.616039
1.48252e-06,-68.3854944
1.48256e-06,-68.982253
1.4826e-06,-68.6310014
1.48264e-06,-69.0822632
1.48268e-06,-68.8392675
1.48272e-06,-67.8313819
1.48276e-06,-68.8489768
1.4828e-06,-68.5808737
1.48284e-06,-68.3060694
1.48288e-06,-68.5426024
1.48292e-06,-68.9885663
1.48296e-06,-68.383724
1.483e-06,-68.7847135
1.48304e-06,-69.1398243
1.48308e-06,-68.2341342
1.48312e-06,-68.015547
1.48316e-06,-67.9415573
1.4832e-06,-68.2589097
1.48324e-06,-68.4941405
1.48328e-06,-68.7176687
1.48332e-06,-68.688192
1.48336e-06,-68.3482247
1.4834e-06,-68.6614875
1.48344e-06,-67.8645254
1.48348e-06,-68.5071624
1.48352e-06,-68.8329465
1.48356e-06,-68.4461352
1.4836e-06,-68.56749
1.48364e-06,-69.0569818
1.48368e-06,-68.6337888
1.48372e-06,-67.9713471
1.48376e-06,-68.6867505
1.4838e-06,-68.4129802
1.48384e-06,-68.5451116
1.48388e-06,-68.6301842
1.48392e-06,-69.2543654
1.48396e-06,-68.1449076
1.484e-06,-68.9517976
1.48404e-06,-68.5685015
1.48408e-06,-68.3909655
1.48412e-06,-68.4481045
1.48416e-06,-69.1672223
1.4842e-06,-68.6806314
