Wavelength [m],Power [dBm]
1.47e-06,-62.2928324
1.47004e-06,-62.4638806
1.47008e-06,-62.4975858
1.47012e-06,-62.683104
1.47016e-06,-62.9582842
1.4702e-06,-62.4901703
1.47024e-06,-62.7574633
1.47028e-06,-62.6006699
1.47032e-06,-62.8251351
1.47036e-06,-62.9097007
1.4704e-06,-62.292191
1.47044e-06,-62.3167795
1.47048e-06,-62.5742752
1.47052e-06,-62.5974491
1.47056e-06,-62.6809324
1.4706e-06,-62.274119
1.47064e-06,-62.4073296
1.47068e-06,-62.4842585
1.47072e-06,-62.2733032
1.47076e-06,-62.5830992
1.4708e-06,-62.243004
1.47084e-06,-62.1208941
1.47088e-06,-62.1705373
1.47092e-06,-62.4186242
1.47096e-06,-62.6187532
1.471e-06,-62.1204176
1.47104e-06,-62.6537411
1.47108e-06,-62.6380662
1.47112e-06,-62.5731989
1.47116e-06,-62.7409376
1.4712e-06,-62.5303451
1.47124e-06,-62.376744
1.47128e-06,-62.3538267
1.47132e-06,-62.4537007
1.47136e-06,-62.9929181
1.4714e-06,-62.4949156
1.47144e-06,-62.7687923
1.47148e-06,-62.4857474
1.47152e-06,-62.2875841
1.47156e-06,-62.4638886
1.4716e-06,-62.4340305
1.47164e-06,-62.6753307
1.47168e-06,-62.6751551
1.47172e-06,-62.1984644
1.47176e-06,-62.0777812
1.4718e-06,-61.9378496
1.47184e-06,-62.5908285
1.47188e-06,-62.3119954
1.47192e-06,-62.2262256
1.47196e-06,-62.4344898
1.472e-06,-62.4449941
1.47204e-06,-62.7341095
1.47208e-06,-62.4870713
1.47212e-06,-62.1324778
1.47216e-06,-62.8079985
1.4722e-06,-62.6936782
1.47224e-06,-62.7767512
1.47228e-06,-62.8624446
1.47232e-06,-62.6052171
1.47236e-06,-62.8250613
1.4724e-06,-62.433262
1.47244e-06,-62.4980881
1.47248e-06,-62.5401365
1.47252e-06,-62.8377255
1.47256e-06,-62.822573
1.4726e-06,-62.4103854
1.47264e-06,-62.367493
1.47268e-06,-62.270815
1.47272e-06,-62.4592638
1.47276e-06,-62.7200134
1.4728e-06,-62.5558206
1.47284e-06,-62.5553981
1.47288e-06,-62.7565454
1.47292e-06,-62.5416462
1.47296e-06,-62.6589179
1.473e-06,-62.1901657
1.47304e-06,-62.0334848
1.47308e-06,-62.1932154
1.47312e-06,-61.9156998
1.47316e-06,-62.1501885
1.4732e-06,-62.0054479
1.47324e-06,-62.055229
1.47328e-06,-62.3976807
1.47332e-06,-62.269364
1.47336e-06,-62.8089935
1.4734e-06,-62.4610161
1.47344e-06,-62.5364496
1.47348e-06,-62.4134504
1.47352e-06,-62.5788984
1.47356e-06,-62.6084684
1.4736e-06,-62.1391623
1.47364e-06,-62.6457959
1.47368e-06,-62.9779653
1.47372e-06,-62.7730442
1.47376e-06,-62.8763825
1.4738e-06,-62.746011
1.47384e-06,-62.7209123
1.47388e-06,-62.5843793
1.47392e-06,-62.5602746
1.47396e-06,-62.7255215
1.474e-06,-62.429003
1.47404e-06,-62.5402634
1.47408e-06,-62.6644755
1.47412e-06,-62.3858123
1.47416e-06,-62.6497558
1.4742e-06,-62.3017284
1.47424e-06,-62.5346987
1.47428e-06,-62.6146228
1.47432e-06,-62.3446812
1.47436e-06,-62.6991305
1.4744e-06,-62.2228015
1.47444e-06,-62.5277141
1.47448e-06,-62.3211465
1.47452e-06,-62.5733074
1.47456e-06,-62.7633473
1.4746e-06,-62.54338
1.47464e-06,-62.6981894
1.47468e-06,-62.682382
1.47472e-06,-62.5618729
1.47476e-06,-62.6421915
1.4748e-06,-62.4570309
1.47484e-06,-62.5554895
1.47488e-06,-62.7268123
1.47492e-06,-62.3733928
1.47496e-06,-62.7763312
1.475e-06,-62.5338495
1.47504e-06,-62.4606713
1.47508e-06,-62.7806588
1.47512e-06,-62.8951874
1.47516e-06,-62.831432
1.4752e-06,-62.5631921
1.47524e-06,-62.6070451
1.47528e-06,-62.7779328
1.47532e-06,-62.8693402
1.47536e-06,-62.8404236
1.4754e-06,-62.6326596
1.47544e-06,-62.7838652
1.47548e-06,-62.9546038
1.47552e-06,-62.7725706
1.47556e-06,-62.8458826
1.4756e-06,-62.5517523
1.47564e-06,-62.4997543
1.47568e-06,-63.1420172
1.47572e-06,-62.6016453
1.47576e-06,-62.7172484
1.4758e-06,-62.6700939
1.47584e-06,-62.5762224
1.47588e-06,-62.7985984
1.47592e-06,-62.7447409
1.47596e-06,-62.2926285
1.476e-06,-62.4855306
1.47604e-06,-62.7201969
1.47608e-06,-62.6416932
1.47612e-06,-62.3395099
1.47616e-06,-62.2535035
1.4762e-06,-62.5516217
1.47624e-06,-62.1151125
1.47628e-06,-62.6081112
1.47632e-06,-62.4445625
1.47636e-06,-62.5239304
1.4764e-06,-62.3679351
1.47644e-06,-62.1687251
1.47648e-06,-62.7345054
1.47652e-06,-62.5049752
1.47656e-06,-62.6191907
1.4766e-06,-62.8788171
1.47664e-06,-62.1830599
1.47668e-06,-62.2463796
1.47672e-06,-61.9499291
1.47676e-06,-62.0327937
1.4768e-06,-62.3247288
1.47684e-06,-62.0185433
1.47688e-06,-62.2203682
1.47692e-06,-62.2229312
1.47696e-06,-62.5033712
1.477e-06,-62.8082738
1.47704e-06,-62.5789367
1.47708e-06,-62.6241412
1.47712e-06,-62.8598255
1.47716e-06,-62.8486762
1.4772e-06,-62.6462806
1.47724e-06,-62.2941041
1.47728e-06,-62.2765875
1.47732e-06,-62.5361669
1.47736e-06,-62.3012369
1.4774e-06,-62.2393535
1.47744e-06,-62.4775149
1.47748e-06,-62.5160708
1.47752e-06,-62.9717072
1.47756e-06,-62.7424096
1.4776e-06,-62.8136314
1.47764e-06,-62.676535
1.47768e-06,-62.7669659
1.47772e-06,-63.1944925
1.47776e-06,-62.8847057
1.4778e-06,-62.8705212
1.47784e-06,-62.5801899
1.47788e-06,-62.4555671
1.47792e-06,-62.5544898
1.47796e-06,-62.1245678
1.478e-06,-62.5192559
1.47804e-06,-62.6968399
1.47808e-06,-62.4756389
1.47812e-06,-62.7400034
1.47816e-06,-62.6137668
1.4782e-06,-62.6517208
1.47824e-06,-62.8469014
1.47828e-06,-62.6676016
1.47832e-06,-62.956659
1.47836e-06,-62.9802642
1.4784e-06,-62.9839526
1.47844e-06,-63.0244903
1.47848e-06,-62.7969779
1.47852e-06,-63.2488478
1.47856e-06,-62.9335037
1.4786e-06,-63.1619003
1.47864e-06,-63.2217544
1.47868e-06,-62.6730838
1.47872e-06,-62.9152094
1.47876e-06,-62.6442916
1.4788e-06,-62.6248577
1.47884e-06,-62.7626344
1.47888e-06,-62.4485378
1.47892e-06,-62.9229265
1.47896e-06,-62.5410731
1.479e-06,-62.7902259
1.47904e-06,-62.767084
1.47908e-06,-62.2653505
1.47912e-06,-62.4799134
1.47916e-06,-62.4615483
1.4792e-06,-62.7869357
1.47924e-06,-62.8688037
1.47928e-06,-62.9036001
1.47932e-06,-62.9214295
1.47936e-06,-63.058732
1.4794e-06,-63.1054401
1.47944e-06,-62.7766929
1.47948e-06,-62.6956021
1.47952e-06,-62.7523978
1.47956e-06,-63.0276625
1.4796e-06,-62.805335
1.47964e-06,-62.6582206
1.47968e-06,-62.3894548
1.47972e-06,-62.4550669
1.47976e-06,-62.8704674
1.4798e-06,-62.8904499
1.47984e-06,-62.874067
1.47988e-06,-63.0030773
1.47992e-06,-62.7325379
1.47996e-06,-63.0462195
1.48e-06,-62.9230796
1.48004e-06,-62.9342696
1.48008e-06,-63.0229125
1.48012e-06,-62.8825855
1.48016e-06,-63.0743644
1.4802e-06,-62.6938774
1.48024e-06,-62.6409192
1.48028e-06,-63.0793402
1.48032e-06,-62.4761428
1.48036e-06,-62.9578662
1.4804e-06,-62.5363238
1.48044e-06,-62.5602663
1.48048e-06,-62.5674802
1.48052e-06,-62.4360439
1.48056e-06,-62.5940135
1.4806e-06,-62.7612095
1.48064e-06,-63.0439029
1.48068e-06,-63.2167141
1.48072e-06,-62.7413172
1.48076e-06,-63.1064993
1.4808e-06,-63.0202676
1.48084e-06,-63.0382745
1.48088e-06,-63.1125627
1.48092e-06,-62.905832
1.48096e-06,-62.7575588
1.481e-06,-63.2604545
1.48104e-06,-62.951706
1.48108e-06,-63.1602766
1.48112e-06,-63.0176422
1.48116e-06,-62.9677423
1.4812e-06,-62.7813422
1.48124e-06,-62.8704381
1.48128e-06,-63.2101521
1.48132e-06,-62.8011285
1.48136e-06,-62.8182306
1.4814e-06,-62.798493
1.48144e-06,-62.5994316
1.48148e-06,-62.8148924
1.48152e-06,-62.5096604
1.48156e-06,-62.6450104
1.4816e-06,-62.9445964
1.48164e-06,-62.8196972
1.48168e-06,-62.9273999
