Wavelength [m],Power [dBm]
1.47e-06,-64.4757807
1.47004e-06,-64.1024938
1.47008e-06,-64.5127054
1.47012e-06,-64.3741761
1.47016e-06,-64.3026315
1.4702e-06,-64.5795179
1.47024e-06,-64.3722197
1.47028e-06,-64.7778847
1.47032e-06,-64.2063452
1.47036e-06,-64.2638597
1.4704e-06,-64.2775599
1.47044e-06,-64.3740291
1.47048e-06,-64.7629521
1.47052e-06,-64.1493723
1.47056e-06,-63.9883989
1.4706e-06,-64.094308
1.47064e-06,-64.1307345
1.47068e-06,-64.1908056
1.47072e-06,-64.1380931
1.47076e-06,-64.131802
1.4708e-06,-64.1021297
1.47084e-06,-63.9157754
1.47088e-06,-64.4175673
1.47092e-06,-64.2804692
1.47096e-06,-63.5974373
1.471e-06,-63.8991112
1.47104e-06,-64.2163688
1.47108e-06,-64.5495987
1.47112e-06,-64.6298858
1.47116e-06,-63.9132639
1.4712e-06,-63.8728087
1.47124e-06,-64.0969377
1.47128e-06,-64.1983327
1.47132e-06,-64.0155709
1.47136e-06,-64.1668305
1.4714e-06,-64.1137726
1.47144e-06,-64.5727674
1.47148e-06,-64.3862641
1.47152e-06,-64.0528252
1.47156e-06,-64.1195007
1.4716e-06,-63.9247978
1.47164e-06,-64.5134032
1.47168e-06,-64.2163368
1.47172e-06,-63.7533824
1.47176e-06,-63.6220632
1.4718e-06,-63.7956382
1.47184e-06,-64.1360413
1.47188e-06,-64.1642604
1.47192e-06,-63.6932255
1.47196e-06,-63.8839049
1.472e-06,-64.1899902
1.47204e-06,-64.360722
1.47208e-06,-64.0395384
1.47212e-06,-64.1099092
1.47216e-06,-64.3506198
1.4722e-06,-64.4181381
1.47224e-06,-64.5064989
1.47228e-06,-64.6435622
1.47232e-06,-64.3873865
1.47236e-06,-64.1199588
1.4724e-06,-64.0894802
1.47244e-06,-64.097087
1.47248e-06,-64.4629045
1.47252e-06,-64.1452388
1.47256e-06,-64.0506817
1.4726e-06,-64.3304757
1.47264e-06,-64.2940848
1.47268e-06,-64.1690503
1.47272e-06,-64.1323101
1.47276e-06,-64.3141042
1.4728e-06,-64.4128228
1.47284e-06,-64.7427992
1.47288e-06,-64.3731536
1.47292e-06,-64.2185258
1.47296e-06,-63.6496868
1.473e-06,-64.220027
1.47304e-06,-64.1356483
1.47308e-06,-64.0497187
1.47312e-06,-64.1093661
1.47316e-06,-64.0327355
1.4732e-06,-64.1650823
1.47324e-06,-64.0021016
1.47328e-06,-64.3650356
1.47332e-06,-64.2541547
1.47336e-06,-64.3021355
1.4734e-06,-64.3503255
1.47344e-06,-64.4013856
1.47348e-06,-64.5362806
1.47352e-06,-64.4358786
1.47356e-06,-64.21434
1.4736e-06,-64.6420795
1.47364e-06,-64.5419415
1.47368e-06,-65.0568915
1.47372e-06,-64.605763
1.47376e-06,-64.6581013
1.4738e-06,-64.6059039
1.47384e-06,-64.5581272
1.47388e-06,-64.5850394
1.47392e-06,-64.0828998
1.47396e-06,-64.0686455
1.474e-06,-64.0261847
1.47404e-06,-63.9543128
1.47408e-06,-63.8633429
1.47412e-06,-63.9773147
1.47416e-06,-63.8655165
1.4742e-06,-64.0094819
1.47424e-06,-64.1587783
1.47428e-06,-64.3348456
1.47432e-06,-64.0985782
1.47436e-06,-64.017976
1.4744e-06,-64.0533341
1.47444e-06,-64.3308842
1.47448e-06,-64.5193492
1.47452e-06,-64.2553195
1.47456e-06,-64.5199375
1.4746e-06,-64.5174023
1.47464e-06,-64.8364042
1.47468e-06,-64.6511263
1.47472e-06,-64.262753
1.47476e-06,-64.1072096
1.4748e-06,-64.2884212
1.47484e-06,-64.2076622
1.47488e-06,-64.4079461
1.47492e-06,-63.8574201
1.47496e-06,-64.3010824
1.475e-06,-64.314121
1.47504e-06,-64.4682939
1.47508e-06,-64.5615723
1.47512e-06,-64.3638158
1.47516e-06,-64.5796138
1.4752e-06,-64.354834
1.47524e-06,-64.218074
1.47528e-06,-64.8405131
1.47532e-06,-64.2133093
1.47536e-06,-64.4294333
1.4754e-06,-64.4784219
1.47544e-06,-64.1879335
1.47548e-06,-64.8446618
1.47552e-06,-64.1091852
1.47556e-06,-64.3549964
1.4756e-06,-64.3782385
1.47564e-06,-64.1562774
1.47568e-06,-64.5413596
1.47572e-06,-64.3017664
1.47576e-06,-64.2403456
1.4758e-06,-64.6332394
